category,keyword,link
wilson,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/wilson-house/
kemp porter,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/kemp-porter/
woodward,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/woodward/
southside,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/southside/
eastside,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/eastside/
beit,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/beit/
xenia,General Information,https://www.imperial.ac.uk/students/accommodation/prospective/ug/ug/xenia/
evelyn gardens,General Information,https://www.imperial.ac.uk/students/accommodation/current-residents/afterfirstyear/returning-students-accommodation/
parsons house,General Information,https://www.imperial.ac.uk/students/accommodation/current-residents/afterfirstyear/parsons/
woodward,Woodward Halls,https://woodward.halls.imperial.ac.uk/
kemp porter,Kemp Porter Buildings,https://kempporter.halls.imperial.ac.uk/#
wilson,Wilson Halls,https://wilson.halls.imperial.ac.uk/
southside,Falmouth and Keogh Hall,https://falmouthkeogh.halls.imperial.ac.uk/hall.html
southside,Tizard Hall,https://tizard.halls.imperial.ac.uk/
southside,Selkirk Hall,https://selkirk.halls.imperial.ac.uk/
eastside,Linstead Hall,https://linstead.halls.imperial.ac.uk/
eastside,Wilkinson Hall,https://wilkinson.halls.imperial.ac.uk/
eastside,Gabor Hall,https://gabor.halls.imperial.ac.uk/
beit,Beit Hall,https://beit.halls.imperial.ac.uk/
xenia,Xenia Hall,https://xenia.halls.imperial.ac.uk/
silwood,Silwood,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/
brian flowers,Brian Flowers,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/brian-flowers/
john smith,John Smith,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/john-smith/
mary flowers,Mary Flowers,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/mary-flowers/
southwood,Southwood,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/southwood/
william penney,William Penney,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/william-penney/
brian flowers,Virtual Tour,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/brian-flowers/360-tour/
john smith,Virtual Tour,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/john-smith/360-tour/
mary flowers,Virtual Tour,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/mary-flowers/360-tour/
southwood,Virtual Tour,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/southwood/360-tour/
william penney,Virtual Tour,https://www.imperial.ac.uk/students/accommodation/prospective/pg/pg/silwood-park/william-penney/360-tour/